Marital status,Application order,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (pass rate),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (pass rate),Curricular units 2nd sem (grade),Target
4,1,1,19,133.1,1,1,126.0,1,0,0,1,1,0,29,0,7,5,0.7142857142857143,11.9,8,5,0.625,11.0,0
1,3,1,1,139.0,19,19,128.2,1,0,0,1,1,1,19,0,0,0,0.0,0.0,0,0,0.0,0.0,1
1,1,1,39,130.0,19,37,130.0,1,0,0,1,1,0,23,0,6,6,1.0,12.571428571428571,6,6,1.0,12.428571428571429,1
1,3,1,1,125.0,1,38,120.1,0,0,1,1,1,0,19,0,5,5,1.0,11.2,5,4,0.8,10.75,0
1,1,1,1,160.0,19,37,100.0,0,0,0,1,1,0,26,0,6,6,1.0,12.0,6,5,0.8333333333333334,10.8,1
1,1,1,1,148.0,38,37,134.0,0,0,0,1,1,0,18,0,5,0,0.0,0.0,5,0,0.0,0.0,1
1,1,1,1,150.0,37,19,130.8,0,0,0,1,1,0,24,0,7,7,1.0,11.975,8,8,1.0,13.75,1
1,1,1,1,141.0,19,19,135.8,1,0,0,1,1,0,19,0,0,0,0.0,0.0,0,0,0.0,0.0,0
1,4,1,1,118.0,38,37,111.7,1,0,0,1,1,0,18,0,6,3,0.5,11.666666666666666,6,1,0.16666666666666666,12.0,0
1,2,1,1,142.0,38,38,132.9,1,0,0,1,1,0,18,0,6,6,1.0,12.333333333333334,6,3,0.5,12.333333333333334,1
1,3,1,1,120.0,19,19,115.5,1,0,1,1,1,0,18,0,5,3,0.6,10.333333333333334,5,3,0.6,10.857142857142858,0
1,4,1,1,106.0,19,37,106.0,1,0,0,1,1,1,21,0,6,4,0.6666666666666666,10.5,6,1,0.16666666666666666,11.0,0
1,4,1,1,121.0,1,19,120.3,1,0,1,1,1,1,19,0,6,6,1.0,13.666666666666666,6,6,1.0,13.333333333333334,1
1,4,1,1,150.0,38,37,130.8,0,0,0,1,1,1,22,0,7,7,1.0,14.842857142857142,8,8,1.0,15.055555555555555,1
2,1,0,1,120.0,37,37,117.0,0,0,0,1,1,0,33,0,6,6,1.0,12.0,6,6,1.0,11.666666666666666,1
1,6,1,1,114.0,19,19,110.2,1,0,0,1,1,0,20,0,6,5,0.8333333333333334,12.2,6,5,0.8333333333333334,12.2,0
1,1,0,2,140.0,3,3,155.7,1,0,0,1,1,0,35,0,1,0,0.0,0.0,5,0,0.0,0.0,0
1,1,1,4,160.0,3,3,180.4,0,0,1,1,1,0,24,0,12,6,0.5,12.166666666666666,12,10,0.8333333333333334,13.3,0
1,1,1,1,120.0,19,19,125.5,0,0,0,1,1,0,18,0,5,5,1.0,12.0,5,3,0.6,11.333333333333334,1
2,1,0,1,130.0,37,37,110.0,1,0,0,1,0,0,33,0,6,6,1.0,11.0,6,5,0.8333333333333334,11.0,1
1,1,1,1,160.0,37,38,161.0,1,0,0,1,0,1,22,0,8,7,0.875,13.08,8,7,0.875,13.08,1
1,1,1,1,120.0,1,19,100.0,0,0,0,1,0,1,25,0,5,4,0.8,10.5,5,5,1.0,11.6,1
1,1,1,1,124.0,19,38,117.6,1,0,0,1,1,0,20,0,6,6,1.0,10.666666666666666,6,5,0.8333333333333334,11.2,1
1,6,1,1,143.0,38,37,128.7,1,0,0,1,1,0,23,0,5,4,0.8,14.0,5,5,1.0,13.8,1
1,2,1,1,115.0,38,19,112.2,1,0,1,1,1,0,18,0,5,2,0.4,10.0,5,0,0.0,0.0,1
1,1,1,1,133.1,1,1,100.8,0,0,0,1,1,0,24,0,7,0,0.0,0.0,7,0,0.0,0.0,0
1,2,1,1,133.1,19,1,105.0,1,0,0,0,0,0,21,1,6,6,1.0,14.0,6,6,1.0,13.5,1
1,1,1,1,133.1,1,1,100.0,0,0,0,1,0,0,26,1,6,2,0.3333333333333333,12.0,6,0,0.0,0.0,0
2,1,1,10,133.1,37,34,115.5,0,0,0,1,0,0,39,0,6,3,0.5,12.666666666666666,6,0,0.0,0.0,0
2,1,0,1,133.1,37,19,114.0,0,0,0,1,0,0,44,0,8,8,1.0,11.875,6,6,1.0,12.333333333333334,1
1,1,1,1,130.0,38,3,137.0,1,0,0,1,1,0,19,1,5,5,1.0,14.0,5,3,0.6,13.25,1
1,5,1,1,135.0,37,1,124.9,1,0,0,1,0,0,18,0,6,6,1.0,13.666666666666666,6,6,1.0,13.333333333333334,1
1,5,1,1,132.0,37,37,120.3,1,0,0,1,0,1,18,0,7,7,1.0,13.75,8,8,1.0,14.47777777777778,1
1,1,1,1,135.0,1,2,134.3,1,0,0,1,0,0,19,0,5,5,1.0,14.2,5,5,1.0,13.8,1
1,4,1,1,115.0,3,3,111.5,1,0,1,0,0,0,19,0,7,4,0.5714285714285714,11.96,7,0,0.0,0.0,0
1,1,1,42,130.0,38,38,128.8,0,0,0,1,0,0,21,0,10,8,0.8,12.875,9,5,0.5555555555555556,13.4,0
1,4,1,1,133.1,1,1,110.0,1,0,0,1,0,0,20,0,0,0,0.0,0.0,0,0,0.0,0.0,1
2,1,0,1,130.0,37,37,113.5,1,0,0,1,0,0,36,0,6,0,0.0,0.0,6,0,0.0,0.0,0
4,1,1,12,133.1,37,37,160.0,0,0,0,1,0,0,43,0,18,18,1.0,14.63157894736842,13,13,1.0,14.23076923076923,1
1,1,1,1,123.0,19,19,117.4,1,0,0,1,0,0,19,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,1,1,1,130.0,3,1,122.2,0,0,1,1,0,0,20,0,10,10,1.0,13.0,11,11,1.0,12.272727272727272,1
1,2,1,1,122.0,37,38,118.2,1,0,0,1,0,0,19,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,1,1,1,113.0,1,1,106.7,1,0,0,1,0,0,20,0,6,4,0.6666666666666666,14.2,6,4,0.6666666666666666,13.25,0
1,5,1,1,111.0,3,4,108.2,1,0,0,1,0,0,20,0,7,6,0.8571428571428571,13.266666666666666,7,5,0.7142857142857143,12.3,0
1,2,1,1,133.1,19,1,107.0,1,0,0,1,0,0,20,0,7,6,0.8571428571428571,11.666666666666666,7,3,0.42857142857142855,13.0,1
1,1,1,1,142.0,37,37,136.1,1,0,0,1,0,0,18,0,6,6,1.0,13.857142857142858,6,6,1.0,15.0,1
1,2,1,1,123.0,1,38,115.3,1,0,0,1,0,1,18,0,5,3,0.6,13.0,5,3,0.6,11.0,1
1,1,1,1,131.0,19,19,139.8,1,0,0,1,0,0,19,0,5,5,1.0,13.4,5,5,1.0,12.8,1
1,3,1,1,158.0,1,38,157.0,1,0,0,1,0,0,18,0,6,6,1.0,12.666666666666666,6,6,1.0,12.571428571428571,1
1,2,1,1,122.0,37,37,131.0,1,0,0,1,0,0,18,0,7,6,0.8571428571428571,12.516666666666666,7,6,0.8571428571428571,12.516666666666666,0
1,1,1,1,130.0,38,38,100.0,0,0,0,1,0,0,20,0,7,6,0.8571428571428571,11.616666666666667,7,7,1.0,13.0,1
1,1,1,1,154.0,19,37,140.4,1,0,0,1,0,1,20,0,6,2,0.3333333333333333,10.0,6,4,0.6666666666666666,10.75,1
1,1,1,1,120.0,19,19,113.4,0,0,0,1,0,0,20,0,5,3,0.6,10.333333333333334,5,3,0.6,10.666666666666666,1
1,2,1,1,140.0,37,38,137.0,0,0,0,1,0,0,18,0,5,5,1.0,13.142857142857142,5,5,1.0,11.4,1
1,1,1,1,127.0,2,19,121.8,0,0,0,1,0,0,18,0,5,5,1.0,12.6,5,5,1.0,14.0,1
1,1,1,1,133.1,1,1,131.0,1,0,0,1,0,0,21,0,6,3,0.5,11.0,6,2,0.3333333333333333,11.0,0
1,2,1,1,120.0,19,19,118.6,1,0,0,1,0,0,19,0,5,5,1.0,10.8,5,4,0.8,11.25,1
1,1,1,1,137.0,3,19,122.3,0,0,0,1,0,0,19,0,0,0,0.0,0.0,0,0,0.0,0.0,0
1,1,1,1,131.0,38,38,127.9,0,0,0,1,0,1,19,0,5,5,1.0,12.8,5,5,1.0,14.2,1
1,1,1,1,130.0,19,38,121.3,1,0,0,1,0,0,19,0,6,6,1.0,14.166666666666666,6,6,1.0,12.2,1
1,6,1,1,122.0,1,1,117.1,1,0,0,1,0,0,19,0,7,5,0.7142857142857143,12.1,7,0,0.0,0.0,0
1,1,1,39,160.0,37,37,160.0,1,0,0,1,0,0,20,0,6,6,1.0,14.166666666666666,6,5,0.8333333333333334,13.77777777777778,1
1,1,1,1,146.0,19,38,145.3,1,0,0,1,0,1,18,0,6,5,0.8333333333333334,12.8,6,5,0.8333333333333334,13.4,1
1,3,1,1,131.0,1,39,122.6,1,0,0,1,0,0,18,0,6,6,1.0,13.0,6,6,1.0,13.666666666666666,1
1,6,1,1,132.0,1,37,128.0,1,0,0,1,0,0,19,0,7,7,1.0,13.467142857142855,8,8,1.0,15.011111111111113,1
1,3,1,1,138.0,19,19,124.9,1,0,0,1,0,1,18,0,7,7,1.0,13.2375,8,7,0.875,13.742857142857144,0
1,2,1,1,130.0,37,37,123.7,1,0,0,1,0,0,18,0,6,6,1.0,12.333333333333334,6,6,1.0,13.0,1
1,4,1,1,126.0,1,19,120.1,1,0,0,1,0,0,19,0,5,5,1.0,12.4,5,5,1.0,14.6,1
1,6,1,1,148.0,1,19,131.7,1,0,0,1,0,0,19,0,7,5,0.7142857142857143,14.0,7,0,0.0,0.0,0
1,1,1,1,130.0,38,37,133.2,0,0,0,1,0,0,20,0,9,9,1.0,11.666666666666666,7,7,1.0,11.714285714285714,1
1,1,1,1,117.0,1,38,109.3,0,0,1,0,0,1,19,0,6,5,0.8333333333333334,12.0,6,4,0.6666666666666666,12.5,0
1,1,1,1,120.0,19,19,113.0,1,0,0,1,0,0,20,0,5,4,0.8,12.2,5,4,0.8,11.5,1
1,1,1,1,153.0,1,1,157.9,0,0,1,1,0,1,18,0,6,6,1.0,14.833333333333334,6,6,1.0,14.833333333333334,1
1,2,1,1,117.0,19,1,112.1,0,0,0,1,0,1,20,0,7,5,0.7142857142857143,13.188,8,7,0.875,12.892857142857142,1
1,1,1,1,178.0,19,1,174.7,0,0,0,1,0,0,18,0,7,7,1.0,17.125,8,8,1.0,17.5875,1
1,5,1,1,129.0,37,37,128.8,1,0,0,1,0,0,19,0,7,6,0.8571428571428571,12.666666666666666,7,6,0.8571428571428571,12.666666666666666,1
1,6,1,1,116.0,19,1,110.1,1,0,0,1,0,1,19,0,6,6,1.0,12.666666666666666,6,5,0.8333333333333334,12.0,1
1,1,1,1,99.0,3,1,99.7,1,0,1,0,0,0,22,0,5,0,0.0,0.0,5,0,0.0,0.0,1
1,3,1,1,135.0,1,12,121.0,1,0,0,1,0,1,19,0,6,6,1.0,11.333333333333334,6,6,1.0,11.5,1
1,3,1,1,141.0,19,19,131.7,1,0,0,1,0,1,19,0,7,7,1.0,13.605,8,8,1.0,12.33125,1
1,5,1,1,132.0,37,38,119.1,1,0,0,1,0,1,19,0,6,5,0.8333333333333334,12.0,6,5,0.8333333333333334,10.8,1
1,4,1,1,132.0,12,19,124.7,1,0,0,1,0,0,19,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,1,1,1,113.0,1,37,117.2,1,0,0,1,0,0,20,0,6,5,0.8333333333333334,11.2,6,3,0.5,11.666666666666666,0
1,1,1,1,134.0,3,19,128.8,0,0,0,1,0,0,18,0,5,5,1.0,13.375,5,5,1.0,14.166666666666666,1
1,1,1,1,136.0,1,19,131.5,0,0,0,1,0,1,20,0,7,6,0.8571428571428571,13.863333333333337,8,7,0.875,14.178571428571429,1
1,1,1,1,136.0,3,37,121.7,1,0,0,1,0,0,18,0,0,0,0.0,0.0,0,0,0.0,0.0,1
1,1,1,1,129.0,1,38,123.4,0,0,0,1,0,0,19,0,5,5,1.0,12.4,5,5,1.0,13.4,1
1,1,1,1,138.0,38,38,124.7,1,0,0,1,0,0,18,0,6,3,0.5,12.333333333333334,6,5,0.8333333333333334,10.833333333333334,1
1,1,1,1,137.0,37,37,132.8,1,0,0,1,0,0,18,0,6,6,1.0,13.333333333333334,6,5,0.8333333333333334,11.8,1
1,1,1,1,115.0,3,37,108.7,1,0,0,1,0,0,21,0,6,3,0.5,12.666666666666666,6,3,0.5,10.0,0
1,1,1,1,129.0,38,37,138.1,0,0,0,1,0,0,19,0,6,6,1.0,12.0,6,4,0.6666666666666666,11.5,0
1,1,1,1,131.0,38,38,126.5,0,0,0,1,0,1,18,0,5,5,1.0,10.6,5,5,1.0,11.8,1
1,2,1,1,133.0,1,37,127.4,1,0,0,1,0,1,18,0,6,6,1.0,12.25,6,6,1.0,11.857142857142858,1
1,3,1,1,125.0,19,1,123.6,1,0,0,1,0,0,20,0,6,4,0.6666666666666666,11.0,6,6,1.0,11.833333333333334,1
1,1,0,1,120.0,1,19,122.0,0,0,0,1,0,1,24,0,6,5,0.8333333333333334,11.0,6,5,0.8333333333333334,12.6,1
1,1,1,1,128.0,19,1,118.2,0,0,0,1,0,0,19,0,6,6,1.0,13.166666666666666,6,6,1.0,13.0,0
1,1,1,1,127.0,19,37,123.9,1,0,0,1,0,1,18,0,7,7,1.0,12.855555555555554,8,7,0.875,12.761111111111113,1
1,2,1,1,134.0,19,19,125.8,1,0,0,1,0,0,18,0,7,7,1.0,14.91875,8,8,1.0,15.355,1
1,5,1,1,132.0,12,12,123.3,1,0,0,1,0,0,21,0,6,4,0.6666666666666666,11.5,6,3,0.5,11.0,0
1,2,1,1,124.0,1,19,124.4,0,0,0,1,0,0,19,0,5,5,1.0,14.2,5,5,1.0,14.2,1
1,1,1,1,133.1,19,37,126.0,0,0,0,1,0,1,19,0,6,6,1.0,12.5,6,6,1.0,13.0,1
3,1,1,1,170.0,1,37,170.0,0,0,1,1,0,0,47,0,1,0,0.0,0.0,6,0,0.0,0.0,1
1,3,1,1,125.0,19,19,121.5,0,0,0,1,0,0,19,0,6,5,0.8333333333333334,11.666666666666666,6,4,0.6666666666666666,11.0,1
1,1,1,3,130.0,2,2,130.0,0,0,0,1,0,0,29,0,8,7,0.875,14.257142857142856,8,7,0.875,14.257142857142856,1
1,1,1,1,125.0,19,19,117.0,1,0,0,1,0,0,21,0,6,3,0.5,12.0,6,2,0.3333333333333333,11.333333333333334,0
1,1,1,1,130.0,37,19,130.0,1,0,0,1,0,0,28,0,5,4,0.8,11.25,5,4,0.8,10.5,1
1,2,1,1,133.1,37,37,108.0,0,0,0,1,0,0,20,0,7,7,1.0,12.457142857142856,8,8,1.0,13.5625,1
1,1,1,1,131.0,2,38,132.3,1,0,0,1,0,0,19,0,7,6,0.8571428571428571,11.683333333333332,7,6,0.8571428571428571,11.683333333333332,1
1,1,0,1,150.0,19,2,148.0,0,0,0,1,0,0,26,0,6,3,0.5,11.666666666666666,6,5,0.8333333333333334,12.0,1
1,2,1,1,125.0,37,37,122.6,1,0,1,0,0,0,20,0,6,4,0.6666666666666666,11.75,6,6,1.0,13.166666666666666,0
1,1,1,1,131.0,37,37,123.0,1,0,0,1,0,1,18,0,5,3,0.6,11.666666666666666,5,4,0.8,13.5,1
1,1,1,1,130.0,37,19,102.5,0,0,0,1,0,0,27,0,6,5,0.8333333333333334,13.2,6,5,0.8333333333333334,12.0,1
1,2,1,1,123.0,34,34,113.3,1,0,0,1,0,0,20,0,7,4,0.5714285714285714,11.95,7,4,0.5714285714285714,11.95,0
1,5,1,1,141.0,37,19,133.0,1,0,0,1,0,0,18,0,6,5,0.8333333333333334,12.4,6,5,0.8333333333333334,10.4,0
1,1,1,3,140.0,1,1,140.0,0,0,0,1,0,0,33,0,7,6,0.8571428571428571,14.35,8,6,0.75,14.583333333333334,0
1,1,1,1,140.0,3,1,128.3,1,0,0,1,0,0,35,0,21,21,1.0,12.61904761904762,19,19,1.0,12.789473684210526,1
1,1,0,39,140.0,37,19,140.0,0,0,0,1,0,1,26,0,6,6,1.0,12.666666666666666,6,6,1.0,13.166666666666666,1
1,1,1,19,133.1,19,19,104.0,0,0,1,0,0,0,27,0,6,5,0.8333333333333334,12.0,6,0,0.0,0.0,0
1,3,1,1,131.0,1,37,122.3,1,0,0,0,0,0,19,0,6,6,1.0,12.166666666666666,6,0,0.0,0.0,0
1,2,1,1,143.0,1,19,135.0,0,0,0,1,0,0,20,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,2,1,1,132.0,3,3,119.1,1,0,1,0,0,0,20,0,5,3,0.6,10.0,5,3,0.6,10.571428571428571,0
1,1,1,1,143.0,1,37,126.6,0,0,1,0,0,0,21,0,10,8,0.8,11.5,6,4,0.6666666666666666,10.0,1
1,3,1,1,141.0,38,1,129.0,1,0,0,1,0,1,18,0,7,6,0.8571428571428571,13.05,7,6,0.8571428571428571,13.05,1
1,1,1,1,133.1,1,19,162.3,1,0,0,1,0,0,24,0,6,2,0.3333333333333333,11.0,6,0,0.0,0.0,0
1,4,1,1,148.0,1,3,163.4,1,0,0,1,0,0,20,0,6,6,1.0,11.5,6,6,1.0,12.0,1
1,1,1,1,125.0,19,38,121.5,0,0,0,1,0,1,21,0,6,6,1.0,12.0,6,6,1.0,12.5,1
1,1,0,1,120.0,1,37,122.8,0,0,0,1,0,0,23,0,6,2,0.3333333333333333,10.0,5,1,0.2,10.0,1
1,1,1,1,140.0,12,3,118.0,1,0,0,1,0,0,24,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,1,1,1,139.0,1,1,134.0,0,0,0,1,0,0,21,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,4,1,1,142.0,38,38,129.8,1,0,0,1,0,0,18,0,8,7,0.875,12.242857142857144,8,7,0.875,12.242857142857144,1
1,1,0,40,130.0,19,1,152.0,1,0,0,1,0,0,27,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,6,1,1,126.0,37,37,122.8,1,0,0,1,0,0,18,0,8,8,1.0,12.93375,8,8,1.0,12.93375,1
1,1,1,3,150.0,3,2,150.0,0,0,0,1,0,0,35,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,1,1,1,130.0,19,19,131.8,0,0,0,1,0,0,18,0,7,7,1.0,12.571428571428571,7,7,1.0,14.428571428571429,1
1,1,1,1,120.0,1,3,105.9,0,0,0,1,0,0,35,0,3,3,1.0,11.816666666666668,3,3,1.0,11.333333333333334,1
1,1,1,1,138.0,1,1,132.1,1,0,0,1,0,0,19,0,5,4,0.8,13.75,5,4,0.8,14.333333333333334,1
